Property Ref,Account Holder 1,Account Holder 2,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Post Code,Liable From,RV,Description,Empty Y/N,Empty From,Discretionary Relief %,Mandatory Relief %,Small Business Rate Relief Y/N,Supporting Small Business Relief Y/N,Retail Hospitality and Leisure Relief Y/N
Ref:10034695731467,CHUNKS STEAK BOX LTD,,DALE AUTO PARTS UNIT 1,CLAYCOURT BUILDING,CRAWFORD STREET,ROCHDALE,LANCS,,OL16 5RS,03.09.2019,3350,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:1003708165442A,ROYAL MAIL GROUP PLC,,PROGRESS HOUSE,,AINSWORTH STREET,ROCHDALE,LANCASHIRE,,OL16 1AA,01.04.2005,129000,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10037099153853,VALUME LTD,,C C G WINDSCREENS LTD,,AINSWORTH STREET,ROCHDALE,LANCS,,OL16 5QX,01.07.2014,35500,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10055590642185,ARQIVA LTD,,ARQIVA SITE NO 305285,,LAND ADJ TO ALBERT ROYDS STREET,BELLSHILL CERESCENT,ROCHDALE,,OL16 2TS,31.08.2020,5700,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10055593003732,PGC ESTATES LTD,,,,BELFIELD HALL FARM,ALBERT ROYDS STREET,ROCHDALE,,OL16 5AA,31.05.2024,150000,WAREHOUSE AND PREMISES,Y,31.05.2024,0,0,N,N,N
Ref:10055596411316,GLAMORGAN RETAIL LIMITED,,UNIT 3 MAYFIELD PARADE,,ALBERT ROYDS STREET,ROCHDALE,LANCS,,OL16 2UE,30.08.2012,11500,SHOP AND PREMISES,N,,0,0,N,N,Y
Ref:10055596415123,TOTE BOOKMAKERS LTD,,UNIT 2 MAYFIELD PARADE,,ALBERT ROYDS STREET,ROCHDALE,LANCS,,OL16 2UE,01.12.2006,10000,SHOP AND PREMISES,N,,0,0,N,N,N
Ref:10058X0002005B,J COONEY LTD,,J COONEY CIVIL ENGINEERING,,ALBION ROAD,ROCHDALE,LANCS,,OL11 4HQ,01.04.2005,12750,WAREHOUSE AND PREMISES,N,,0,0,Y,Y,N
Ref:10058X00050075,ACRYATE RESEARCH AND DEVELOPMENT,LTD,UNIT 3,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,15.04.2016,12750,WORKSHOP AND PREMISES,N,,0,0,Y,Y,N
Ref:10058X0008009A,TECHGEAR SOLUTIONS DIRECT LTD,,UNIT 6,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,07.06.2013,10750,WAREHOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:10058X00090068,SHARKBYTE TRADING LIMITED,,UNIT 7,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,01.04.2019,12000,WAREHOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:10058X00100058,ALLELY (ROCHDALE) LTD,,UNIT 9,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,31.12.2020,21250,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10058X001200X7,DAMAR INTERIORS (NORTH WEST) LTD,,UNIT 11,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4JB,21.10.2013,10750,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10058X0014006B,G S ROCHDALE AUTOS LTD,,,,UNIT 13A,ALBION INDUSTRIAL ESTATE,ROCHDALE,,OL11 4JB,01.02.2019,6800,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10058X00150019,BREEDON TRADING LIMITED,,TARMAC TOPMIX,,ALBION ROAD,ROCHDALE,LANCASHIRE,,OL11 4HQ,11.09.2015,34750,CONCRETE BATCHING PLANT AND PREMISES,N,,0,0,N,N,N
Ref:10058X46097239,JEM FIRE PUMPS LIMITED,,UNIT 4-5,,ALBION INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL11 4HN,01.04.2005,29000,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10058X97378008,J & N FITNESS LTD,,,,UNIT 1,ALBION INDUSTRIAL ESTATE,ROCHDALE,,OL11 4JB,01.05.2021,11500,GYMNASIUM AND PREMISES,N,,0,0,Y,N,N
Ref:1010950010005B,ABM (LANCASHIRE) LTD,,UNIT 10,,ALMA INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL12 0HQ,27.04.2011,10500,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10109590034010,GROEASI LTD,,,,UNITS 3 & 4 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,01.07.2023,28250,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10109590036021,CPT DIRECT LIMITED,,,,UNIT 5 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,01.08.2023,14500,Workshop and Premises,N,,0,0,N,N,N
Ref:10109591029834,PURE FILTERS (INTERNATIONAL) LTD,,,,UNIT 2 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,06.04.2018,53500,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10109594389201,PURE FILTERS (INTERNATIONAL),LTD,,,UNIT 1 ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,01.01.2013,43000,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10109595527680,FOODIE WORLD LTD,,UNIT 7,,ALMA INDUSTRIAL ESTATES,ROCHDALE,,,OL12 0HQ,15.06.2023,22500,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10109597754519,TRUSTEES OF THE GUARDIAN PENSION,SCHEME,UNIT 6,,ALMA INDUSTRIAL ESTATE,ROCHDALE,,,OL12 0HQ,25.05.2023,22500,WAREHOUSE AND PREMISES,Y,25.05.2023,0,0,N,N,N
Ref:10109599183828,TRI-CAST COMPOSITE TUBES LTD,,UNIT 9,,ALMA INDUSTRIAL ESTATE,ROCHDALE,LANCASHIRE,,OL12 0HQ,16.06.2010,11000,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10115000010086,ASPDEN & MIDDLETON PROPERTIES,LTD,BOUNDARY WORKS,,BOUNDARY STREET,ROCHDALE,LANCS,,OL11 1QX,01.04.2007,2125,WORKSHOP AND PREMISES,Y,01.04.2007,0,0,N,N,N
Ref:10115000050153,BEEWEB LTD,,LANCASHIRE WORKS BEE WEBB,,AMBROSE STREET,ROCHDALE,LANCASHIRE,,OL11 1QX,01.04.2005,6300,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:1011599008A022,FORTIS CONSULTANTS LTD,,,,UNIT 8A AMBROSE STREET,ROCHDALE,,,OL11 1QX,11.07.2020,3750,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10124800010086,THE CATHOLIC CLUB,,CATHOLIC CLUB,,ANN STREET,ROCHDALE,LANCASHIRE,,OL16 1QQ,01.04.2005,12000,CLUB AND PREMISES,N,,0,0,Y,N,N
Ref:10124893772934,A & A PLUMBING LTD,T/A DALE PLUMBING MERCHANTS,,,UNIT 3 ANN STREET,ROCHDALE,,,OL16 1QQ,01.03.2017,7000,OFFICE & PREMISES,N,,0,0,Y,N,N
Ref:10124893772935,UNITED FORECOURT LTD,,,,UNIT 4 ANN STREET,ROCHDALE,,,OL16 1QQ,31.03.2018,10000,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10124898731641,CC FRANCHISING WORLDWIDE LTD,,,,UNITS 1 & 2 ANN STREET,ROCHDALE,,,OL16 1QQ,29.09.2015,8700,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10193800000305,NW RESERVE FORCES & CADETS,ASSOC,ATC HUT,,ASHFIELD ROAD,ROCHDALE,LANCASHIRE,,OL11 1QH,01.04.2005,3400,HALL AND PREMISES,N,,100,0,N,N,N
Ref:10205200080095,CASTLETON BOWLING CLUB,,CASTLETON BOWLING CLUB,,ASHTON STREET,ROCHDALE,,,OL11 3RT,01.04.2005,4600,BOWLING GREEN AND PREMISES,N,,0,0,Y,N,N
Ref:10210594431736,TELEFONICA UK LIMITED,,T-MOBILE SITE REF 52068,,HAMER LANE,ROCHDALE,LANCASHIRE,,OL16 2UL,03.02.2011,7100,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10210599185061,S M NOORAN LTD,,UNIT 1 ASHWOOD HOUSE,,HAMER LANE,ROCHDALE,LANCASHIRE,,OL16 2UL,07.03.2023,24750,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10268X95055701,FISHERFIELD CHILDCARE LTD,,THE GABLES,,34 BAGSLATE MOOR ROAD,ROCHDALE,,,OL11 0HQ,01.04.2005,28000,DAY NURSERY AND PREMISES,N,,0,0,N,N,N
Ref:10274200050077,ROCHDALE MBC,,,,17A BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,20.05.2013,14750,OFFICES AND PREMISES,Y,20.05.2013,0,0,N,N,N
Ref:10274200060045,ROCHDALE MBC,,,,19 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,01.06.2018,6300,SHOWROOM AND PREMISES,Y,01.06.2018,0,0,N,N,N
Ref:10274200080091,ROCHDALE MBC,,,,21 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,15.07.2015,5800,OFFICES AND PREMISES,Y,03.06.2016,0,0,N,N,N
Ref:10274290684331,FRENCH IMPORTS LTD,RETIREMENT BENEFITS SCHEME,,,UNIT 3 AT 1A-3A,BAILLIE STREET,ROCHDALE,,OL16 1JJ,01.11.2021,2225,OFFICES AND PREMISES,Y,01.11.2021,0,0,N,N,N
Ref:10274290716846,COBAN SOLUTIONS LTD,,,,3RD FLR OFFICE 4 AT 1A-3A,BAILLIE STREET,ROCHDALE,,OL16 1JJ,01.09.2021,3350,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10274293713630,FROZEN DELIGHTS AND CONVENIENCE,STORE LTD,,,5 BAILLIE STREET,ROCHDALE,,,OL16 1JJ,20.02.2023,2425,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10274293713631,KNOCKOUT DINER LIMITED,,,,5A BAILLIE STREET,ROCHDALE,,,OL16 1JJ,07.05.2022,2900,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10274294022839,ROCHDALE MBC,,,,1ST FLR 19,BAILLIE STREET,ROCHDALE,LANCASHIRE,OL16 1JJ,11.03.2014,5800,HAIRDRESSING SALON AND PREMISES,Y,11.03.2014,0,0,N,N,N
Ref:10274296230200,HARVEY & THOMPSON LTD,,SHOP 1 AT 1A-3A,,BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JJ,14.01.2020,8200,SHOP AND PREMISES,N,,0,0,N,N,N
Ref:10274296251624,ASHWORTH VIEW LIMITED,,,,ASHWORTH VIEW NURSERY,EDENFIELD ROAD,ROCHDALE,,OL12 7TY,16.09.2013,54000,DAY NURSERY AND PREMISES,N,,0,0,N,N,N
Ref:10274296741324,CREDE SIGNO LIMITED,T/A LANCASHIRE HOSPITALITY,,,1ST FLR OFFICES AT 1A-3A,BAILLIE STREET,ROCHDALE,,OL16 1JJ,10.10.2022,5200,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10274297832415,FRENCH IMPORTS LTD RETIREMENT,BENEFITS SCHEME,,,SHOP 2,AT 1A-3A BAILLIE STREET,ROCHDALE,,OL16 1JJ,12.04.2022,5800,OFFICES AND PREMISES,Y,12.04.2022,0,0,N,N,N
Ref:10274390001057,ROCHDALE HOTEL LIMITED,,,,HAMPTON BY HILTON,NEW BAILLIE STREET,ROCHDALE,,OL16 1EU,18.09.2023,217000,Hotel and Premises,N,,0,0,N,N,Y
Ref:10277700010082,RUMMA CONSULTING LTD,,,,2 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JG,30.11.2010,18500,SHOP AND PREMISES,N,,0,0,N,N,Y
Ref:1027770002005B,WILLIAM HILL ORGANISATION LTD,,,,4 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JG,01.04.2005,15000,BETTING SHOP AND PREMISES,N,,0,0,N,N,N
Ref:10277700100058,PETITE BISTRO LTD,,,,16 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JG,01.04.2022,6200,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10277790014001,SOCIAL NETWORK LTD,,,,BST 14 BAILLIE STREET,ROCHDALE,,,OL16 1JG,15.09.2019,1150,OFFICES AND PREMISES,Y,15.09.2019,0,0,N,N,N
Ref:10277790015002,HAMMER AND NAILS LTD,,,,1ST FLR 14 BAILLIE STREET,ROCHDALE,,,OL16 1JG,15.09.2019,5200,WINE BAR AND PREMISES,N,,0,0,Y,N,N
Ref:10277792295064,SOCIAL NETWORK LIMITED,,,08-Oct,1ST FLR BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JG,27.03.2014,7300,OFFICES AND PREMISES,Y,27.03.2014,0,0,N,N,N
Ref:10277793229921,ABRAHAMS POCKET LTD,,GND FLR 6A,,BAILLIE STREET,ROCHDALE,,,OL16 1JG,27.06.2017,5600,SHOP AND PREMISES,Y,27.06.2017,0,0,N,N,N
Ref:10277794968667,SOCIAL NETWORK LIMITED,,3RD FLR,08-Oct,BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JG,27.03.2014,5300,OFFICES AND PREMISES,Y,27.03.2014,0,0,N,N,N
Ref:10277795970818,OLD HILL MARKET (HALES OWEN) LTD,,,,1ST FLR 6A,BAILLIE STREET,ROCHDALE,,OL16 1JG,30.08.2014,0,BEING CONVERTED,Y,30.08.2014,0,0,N,N,N
Ref:10277799187508,VICOLOS LTD,,,,10A BAILLIE STREET,ROCHDALE,,,OL16 1JG,25.06.2016,5200,WINE BAR AND PREMISES,N,,0,0,Y,N,N
Ref:1027790089002A,NAMEPLATE SERVICES LTD,,,,89 BAILLIE STREET,ROCHDALE,LANCASHIRE,,OL16 1JA,01.04.2005,11750,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10283X00010086,ROCHDALE MBC,,BALDERSTONE PARK,RMBC,OLDHAM ROAD,ROCHDALE,LANCASHIRE,,OL11 2HB,01.04.2005,12000,LIBRARY AND PREMISES,N,,0,0,N,N,N
Ref:10283X90002006,BIG LIFE CENTRES,,,,KIRKHOLT MILLION,BALDERSTONE PARK,PLATTING LANE,ROCHDALE,OL11 2HD,06.06.2022,7800,CLUB HOUSE AND PREMISES,N,,0,80,N,N,N
Ref:10295190003057,HUTCHISON 3G UK LTD,,,,HUTCHISON 3G UK LTD,LAND OFF BALDERSTONE ROAD,ROCHDALE,,OL11 2AQ,31.08.2021,7300,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10352200010088,KAJMAN TECH SERVICES LTD,,CASTLE WORKS TRUCK MEND,,BARLOW STREET,ROCHDALE,LANCASHIRE,,OL16 1TG,05.06.2021,5100,VEHICLE REPAIR WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10352238605896,CASTLE CAFE ROCHDALE LTD,,CASTLE CAFE GND FLOOR CASTLE,WORKS,HILL STREET,ROCHDALE,LANCASHIRE,,OL16 1SR,04.06.2015,4750,CAFE AND PREMISES,N,,0,0,Y,N,N
Ref:10358100080091,NEW LIFE IN CHRIST EVANGELICAL,MINISTRY,,,23 BARON STREET,ROCHDALE,LANCASHIRE,,OL16 1SJ,10.05.2024,13250,CLUB AND PREMISES,N,,0,0,N,N,N
Ref:1035810009006A,T PICKERING & SONS,,T AND J PICKERING,,BARON STREET,ROCHDALE,LANCASHIRE,,OL16 1SJ,01.04.2005,8100,WAREHOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:10430290361420,KASHMIR YOUTH PROJECT,,,,KASHMIR YOUTH PROJECT,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,01.12.2021,10750,COMMUNITY CENTRE AND PREMISES,N,,20,80,N,N,N
Ref:10430291116628,MOBILE BROADBAND NETWORK LTD,,HUTCHISON 3G UK SITE REF,OL0003 OFF,BELFIELD ROAD,ROCHDALE,LANCASHIRE,,OL16 2UY,29.10.2009,6700,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10430291512947,APERIO LAW & HR LTD,,,,OFFICE 6 2ND FLR,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,22.09.2023,1275,OFFICE,N,,0,0,Y,N,N
Ref:10430293073594,ROCHDALE BOROUGHWIDE HOUSING LTD,,,,3RD FLOOR UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,,OL16 2UP,01.09.2021,25750,OFFICES AND PREMISES,N,,0,80,N,N,N
Ref:10430293082999,COMMUNITY HEALTH PARTNERSHIPS,LTD,CROFT SHIFA HEALTH CENTRE,,BELFIELD ROAD,ROCHDALE,LANCS,,OL16 2UY,01.04.2013,255000,HEALTH CENTRE AND PREMISES,N,,0,0,N,N,N
Ref:10430293430932,KASHMIR YOUTH PROJECT,,KASHMIR YOUTH PROJECT,,1ST FLOOR ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,,OL16 2UP,06.11.2017,11500,OFFICES AND PREMISES,N,,20,80,N,N,N
Ref:10430293779723,KASHMIR YOUTH PROJECT,,OFFICE 5 2ND FLOOR,,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,,OL16 2UP,31.05.2024,1300,OFFICES AND PREMISES,Y,31.05.2024,0,0,N,N,N
Ref:10430294579232,LIMETREE INDEPENDENCE LTD,,,,UNIT 7,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,01.01.2024,1275,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10430295001205,PRECISION RECRUITMENT GROUP LTD,,,,OFFICE 10 2ND FLR,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,01.01.2024,2650,OFFICE,N,,0,0,Y,N,N
Ref:10430295034072,KASHMIR YOUR PROJECT,,,,OFFICE 2 2ND FLR,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,01.06.2020,1225,OFFICE,Y,01.06.2020,0,0,N,N,N
Ref:10430295245545,KASHMIR YOUTH PROJECT,,,,17-19 BELFIELD ROAD,ROCHDALE,LANCS,,OL16 2UP,16.11.2009,25750,COMMUNITY CENTRE AND PREMISES,N,,0,80,N,N,Y
Ref:10430295487198,KASHMIR YOUTH PROJECT,,,,UNIT 9 UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,,OL16 2UP,05.02.2021,2850,"OFFICES, OFFICE AND PREMISES",N,,20,80,N,N,N
Ref:10430295533028,KASHMIR YOUTH PROJECT,,STAFF PREP OFFICE FLOOR 1,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,LANCS,,OL16 2UP,15.11.2013,3400,OFFICE,N,,20,80,N,N,N
Ref:10430296759761,THE HUB PHARMACY LIMITED,,THE PHARMACY AT CROFT SHIFA,HEALTH CENTRE,BELFIELD ROAD,ROCHDALE,LANCS,,OL16 2XT,31.12.2017,93000,SHOP AND PREMISES,N,,0,0,N,N,Y
Ref:10430296786324,HONEYMAN DEVELOPMENTS LTD,,OFFICE 3 2ND FLR,,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,,OL16 2UP,01.11.2021,1250,OFFICES AND PREMISES,N,,0,0,Y,N,N
Ref:10430297114661,COMMUNITY HEALTH PARTNERSHIP LTD,,DR BABAR SURGERY AT,CROFT SHIFA HEALTH CENTRE,BELFIELD ROAD,ROCHDALE,LANCS,,OL16 2UY,01.04.2013,13750,SURGERY AND PREMISES,N,,0,0,N,N,N
Ref:10430297996279,KASHMIR YOUTH PROJECT,,,,OFFICE B 2ND FLR,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,01.04.2009,1400,OFFICE,N,,20,80,N,N,N
Ref:10430298434722,KASHMIR YOUTH PROJECT,,,,OFFICE 1 2ND FLR,UNIQUE ENTERPRISE CENTRE,BELFIELD ROAD,ROCHDALE,OL16 2UP,28.03.2024,1350,OFFICE,N,,0,0,N,N,N
Ref:10430299177861,EMAN WASH LTD,T/AS PREMIER HAND CAR WASH,PREMIER WORKS PREMIER HAND WASH,,BELFIELD ROAD,ROCHDALE,LANCASHIRE,,OL16 2UY,13.12.2023,10500,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10433712914059,S M CASH & CARRY LTD,,UNIT C TRAFALGAR CENTRE,,BELFIELD ROAD,ROCHDALE,LANCASHIRE,,OL16 2UP,22.02.2019,13250,WORKSHOP AND PREMISES,N,,0,0,Y,Y,N
Ref:10433731470116,SEEROS DAYCARE NURSERY LTD,,,,SEEROS DAYCARE NURSERY,BELFIELD ROAD,ROCHDALE,LANCASHIRE,OL16 2UX,01.04.2011,18000,DAY NURSERY AND PREMISES,N,,0,0,N,Y,N
Ref:10433751720735,TRENDMOST LIMITED,,UNIT D TRAFALGAR CENTRE,,BELFIELD ROAD,ROCHDALE,LANCASHIRE,,OL16 2UP,25.05.2012,39500,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10433761718925,TRENDMOST LIMITED,,,,UNIT E TRAFALGAR CENTRE,BELFIELD ROAD,ROCHDALE,LANCASHIRE,OL16 2UP,23.07.2021,31500,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10433761718926,LITTLE OAKS PRESCHOOL,HEYWOOD LTD,,,BAMFORD ROAD,HEYWOOD,,,OL10 4TA,01.07.2020,10500,Day Nursery and Premises,N,,0,0,Y,N,N
Ref:10433761718929,NW RESERVE FORCES & CADETS ASSOC,,,,CADET CENTRE HUT & STORES,BAMFORD ROAD,HEYWOOD,,OL10 4TA,01.04.2017,8500,HALL AND PREMISES,N,,100,0,N,N,N
Ref:10433778490402,BAPP INDUSTRIAL SUPPLIES LTD,,UNIT B TRAFALGAR CENTRE,,BELFIELD ROAD,ROCHDALE,LANCASHIRE,,OL16 2UP,05.03.2012,34250,WORKSHOP AND PREMISES,N,,0,0,N,N,Y
Ref:10433785480687,SM DISTRIBUTION(UK) LTD,,UNIT A TRAFALGAR CENTRE,,BELFIELD ROAD,ROCHDALE,LANCASHIRE,,OL16 2UX,29.09.2017,24250,WORKSHOP AND PREMISES,N,,0,0,N,N,N
Ref:10433790440001,ESP ELECTRICITY LIMITED,,,,INDEPENDENT DISTRIBUTION NETWORK,OPERATOR,BELFIELD ROAD,ROCHDALE,OL16 2UY,01.04.2017,72,INDEPENDENT DISTRIBUTION NETWORK OPERATOR,N,,0,0,N,N,N
Ref:104361001200X2,SACRED HEART F C,,FOX PARK,,BELFIELD MILL LANE,ROCHDALE,LANCASHIRE,,OL16 2UB,01.04.2005,11000,PLAYING FIELD AND PREMISES,N,,0,0,Y,N,N
Ref:10436190002058,LAST MILE GAS LIMITED,,,,INDEPENDENT GAS TRANSPORTER,DEC016167,FOX PARK LANE,ROCHDALE,OL16 3DJ,01.04.2022,330,Independent Gas Transporter,N,,0,0,N,N,N
Ref:10436190134265,LAST MILE ELECTRICITY LIMITED,,,,INDEPENDENT DISTRIBUTION NETWORK,OPERATOR ASSET 016167/01,FOX PARK LANE,ROCHDALE,OL16 3DJ,01.04.2021,230,INDEPENDENT DISTRIBUTION NETWORK OPERATOR,N,,0,0,N,N,N
Ref:10475500240098,VALE MILL (ROCHDALE) LTD,,OXFORD NEW MILL,,BENTLEY STREET,ROCHDALE,LANCASHIRE,,OL12 6EU,01.04.2005,109000,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:1060190053005A,VINTAGE INNS & TAVERNS LIMITED,T/A HARROWS,THE HARROWS,,159 BOLTON ROAD,ROCHDALE,LANCASHIRE,,OL11 3LW,01.09.2023,7250,PUBLIC HOUSE AND PREMISES,N,,0,0,N,N,Y
Ref:1060190058001B,THE PLOUGH PUB & KITCHEN LTD,,SUCCESS TO THE PLOUGH,,BOLTON ROAD,ROCHDALE,LANCASHIRE,,OL11 3LW,13.12.2023,7000,PUBLIC HOUSE AND PREMISES,N,,0,0,Y,N,N
Ref:106043005500X7,BILAL BARBERS PVT LTD,,,,104 BOLTON ROAD,ROCHDALE,LANCASHIRE,,OL11 4RA,01.11.2021,4900,SHOP AND PREMISES,N,,0,0,Y,N,N
Ref:1060430064007A,GM PETROLEUM LIMITED,,MARLAND FILLING STATION,,BOLTON ROAD,ROCHDALE,LANCASHIRE,,OL11 4QX,12.09.2018,12500,PETROL FILLING STATION AND PREMISES,N,,0,0,N,N,Y
Ref:10613099002094,LAST MILE GAS LIMITED,,,,INDEPENDENT GAS TRANSPORTER,BOUNDARY STREET,ROCHDALE,,OL11 1AT,01.04.2014,120,INDEPENDENT GAS TRANSPORTER,N,,0,0,N,N,N
Ref:10613099002095,LAST MILE GAS LIMITED,,,,INDEPENDENT GAS TRANSPORTER,CSEP 1,BOUNDARY STREET,ROCHDALE,OL11 3TG,01.04.2015,172,INDEPENDENT GAS TRANSPORTER,N,,0,0,N,N,N
Ref:1067330001008A,TEC ENGINEERING (NW) LTD,,BORO WKS BRIERLEY COLLIER &,HARTLEY,BRIDGEFIELD STREET,ROCHDALE,LANCASHIRE,,OL11 4EY,01.07.2019,21500,FACTORY AND PREMISES,N,,0,0,N,N,N
Ref:10673390010188,NORTHWEST ENGINES ROCHDALE LTD,,,,UNITS 1-8 DANE MILL,BRIDGEFIELD STREET,ROCHDALE,,OL11 4EY,15.05.2023,46500,WAREHOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10673391713651,NEW LOOK KITCHEN & WARDROBES LTD,,COPPER SHOP,,BRIDGEFIELD STREET,ROCHDALE,LANCS,,OL11 4EY,09.01.2023,14000,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10673395247481,B.A.R.C (ROCHDALE) LIMITED,,VACANT UNIT 1,,BROOKSIDE GARAGE,BORO WORKS,BRIDGEFIELD STREET,ROCHDALE,OL11 4EY,04.11.2013,7500,WORKSHOP AND PREMISES,N,,0,0,Y,N,N
Ref:10694200230011,SPRINGHILL HOSPICE (SERVICES),LTD,,,7B BROAD LANE,ROCHDALE,LANCS,,OL16 4PG,24.04.2014,23750,"CAFE, OFFICES & PREMISES",N,,0,80,N,N,N
Ref:10694200700025,JW LEES &CO (BREWERS) LTD,,SPRING INN,,183 BROAD LANE,ROCHDALE,LANCASHIRE,,OL16 4PR,01.04.2005,55250,PUBLIC HOUSE AND PREMISES,N,,0,0,N,N,N
Ref:10694292818050,MOBILE BROADBAND NETWORK LTD,,T-MOBILE SITE REF 99975 ON THE,SRPING INN PUB,BROAD LANE,ROCHDALE,LANCS,,OL16 4PR,22.04.2010,15500,COMMUNICATION STATION AND PREMISES,N,,0,0,N,N,N
Ref:10697799155513,SPRINGHILL HOSPICE,,SPRINGHILL HOSPICE,,BROAD LANE,ROCHDALE,LANCASHIRE,,OL16 4PG,01.04.2005,92000,HOSPICE AND PREMISES,N,,0,80,N,N,N
Ref:10697799155514,LAST MILE GAS LIMITED,,,,INDEPENDENT GAS TRANSPORTER,BROAD LANE,ROCHDALE,,OL16 4PG,01.04.2015,570,INDEPENDENT GAS TRANSPORTER,N,,0,0,N,N,N
